,module,kME
RPS4Y1,0,
XIST,0,
HLA-DQA1.3,0,
APOBEC3B,0,
DDX3Y,0,
KDM5D,0,
EIF1AY,0,
HLA-DRB4,0,
TXLNGY,0,
TMEM176B,0,
C4BPA,0,
DEFA1,0,
HLA-DQA1.1,0,
CEACAM8,0,
MYOM2,0,
DEFA4,0,
USP9Y,0,
LTF,0,
S100B,0,
S100P,0,
ARID4A,0,
BTNL8,0,
CPA3,0,
CASP6,0,
HLA-DQB1.5,0,
CEBPG,0,
OLFM4,0,
LCN2,0,
MS4A3,0,
TMEM176A,0,
CRISP3,0,
LOC100996747,0,
HLA-DQB1.1,0,
PRKY,0,
MYBL1,0,
ORM1.1,0,
KCNA5,0,
SLC25A3,0,
HLA-DQA1.2,0,
CLC,0,
RNF19A,0,
MCTP1,0,
CD9,0,
FGF13,0,
RNASE2,0,
LAIR2,0,
HIST1H2AE,0,
SPP1,0,
AZU1,0,
BPI,0,
TCRBV12S3,0,
IKZF3,0,
KLRC1,0,
GSTT1,0,
THSD7A,0,
LOC100996756,0,
RP11-549J18.1,0,
KLRC3,0,
MDM4,0,
CAMP,0,
CD177,0,
ARG1,0,
SCML1,0,
FAM118A,0,
ALDH1A1,0,
PDK1,0,
SIDT1,0,
TCN1,0,
PLA2G4C,0,
ATP6V0A1,0,
LGALS2,0,
KLRC4,0,
GEM,0,
GSTM3,0,
MTX2,0,
ELANE,0,
CFD,0,
VNN1,0,
HNRNPA1.2,0,
APOBEC3A,0,
HDC,0,
FCGR2B,0,
HOXB2,0,
NCRNA00185,0,
SCN3A,0,
CTSG,0,
RC3H1,0,
SAMD9,0,
CES1,0,
DCUN1D1,0,
ORM1.2,0,
FCER1A,0,
ERAP2,0,
AKR1C3,0,
IDO1,0,
CHI3L2,0,
CCL23,0,
ARL17A.2,0,
RFX7,0,
MS4A4A,0,
NLRP2,0,
BTNL3,0,
SLC22A5,0,
LMO2,0,
LOC102725263,0,
ANKRD1,0,
C1orf56,0,
FCGR1A.2,0,
EVI2A,0,
BTN3A2.1,0,
GALT,0,
TRAF2,0,
FCGR1B,0,
CEACAM6,0,
RFC4,0,
RP11-116O18.1,0,
KIAA1324,0,
ACOT7,0,
PSPH,0,
GFOD1,0,
HCG18,0,
C1QA,0,
ECH1,0,
GNG7,0,
CRYZ,0,
PLP2,0,
CSGALNACT1,0,
TSEN2,0,
ENC1,0,
MAP3K7CL,0,
FAM98A,0,
TNNT1,0,
COL9A3,0,
TARDBP,0,
DTX2P1-UPK3BP1-PMS2P11,0,
GRAMD1C,0,
RPH3AL,0,
EXOC5,0,
LOC100127972,0,
MAGT1,0,
AIM2,0,
HOPX,0,
DHRS9,0,
MAP3K1,0,
C11orf80,0,
CD8B,0,
HMGB2,0,
PEX6,0,
GTF2H2,0,
MMP8,0,
SH3YL1,0,
PNLIPRP1,0,
ADAMTS5,0,
TUBBP5,0,
KANK1,0,
PRRC1,0,
GATM,0,
FAM153A.2,0,
FANCG,0,
ACADVL,0,
BST1,0,
BMPR1A,0,
LILRA3,0,
AGA,0,
ZNF551,0,
MEOX1,0,
CHI3L1,0,
RPH3A,0,
CDKN1C,0,
RPS6KC1,0,
SPOCK3,0,
RRM2,0,
RGCC,0,
CD160,0,
DSP,0,
CROCCP2,0,
SUPT16H,0,
ERO1LB,0,
CD3G,0,
IL7R,0,
CYSLTR2,0,
KCNA3,0,
TENM1,0,
PTPLB,0,
LOC102724250,0,
P2RY14,0,
CLEC2D,0,
NQO2,0,
RRN3.2,0,
ZBTB16,0,
TOPORS,0,
LRCH1,0,
FANCL,0,
KLRF1,0,
MGAT4A,0,
MTHFD2,0,
NGFRAP1,0,
PLGLB1,0,
FBLN5,0,
ZCCHC2,0,
TTN,0,
GPS2,0,
PCDH17,0,
PRKX.1,0,
SUSD4,0,
AKAP12,0,
CRTAM,0,
GZMM,0,
NT5E,0,
RBBP8,0,
NANOG,0,
TOX,0,
TAGLN,0,
PADI2,0,
LOC389906,0,
POMZP3.2,0,
NOD2,0,
KAT2B,0,
IL18RAP,0,
MIR3916,0,
OFD1,0,
HMBOX1,0,
PLA2G4A,0,
AGO3,0,
ANPEP,0,
NEFL,0,
WDR43,0,
PMP22,0,
KIAA1598,0,
USP36,0,
NPIPB15,0,
PDGFC,0,
DENND4A,0,
CYP2E1,0,
GUSBP3.1,0,
GTF2H2B,0,
WRB,0,
AP3B2,0,
CIITA,0,
ATR,0,
ZWINT,0,
LOC644172,0,
CACNB4,0,
SLC35A5,0,
NCAPG2,0,
ADORA3,0,
ZDHHC11,0,
SPINK2,0,
CARKD,0,
PLEKHA5,0,
PHACTR1,0,
GRAMD3,0,
ATP8B4,0,
HIST1H1C,0,
PDE9A,0,
UTY,0,
AGPAT5,0,
ZNF493,0,
CXCL8,0,
MEST,0,
SPDYE2,0,
RABGGTB.1,0,
NMD3,0,
MEF2A,0,
PLA2G7,0,
SLC29A2,0,
UAP1L1,0,
POMZP3.1,0,
BRPF1,0,
BDH1,0,
CD1D,0,
UEVLD,0,
CASP5,0,
KIF14,0,
GATC.1,0,
MARCO,0,
BEX4,0,
FCER1G,0,
XCL1.1,0,
RAB33B,0,
TJP2,0,
SPAG1,0,
ARL17A.1,0,
APOC3,0,
CXCL10,0,
CBR1,0,
NDFIP1,0,
DSC1,0,
FAM60A,0,
HSPH1,0,
PAPD7,0,
CCDC47,0,
RCAN3,0,
VPS9D1,0,
DNMT1,0,
POMC,0,
ARPC1A,0,
COLGALT2,0,
GOLGA2P5,0,
CAMTA1,0,
IL18R1,0,
LRRC37A2,0,
MRPL35,0,
SEC22B,0,
B3GNT2,0,
SULT1B1,0,
LRRC6,0,
HNRNPA1.1,0,
LPGAT1,0,
RAD23B,0,
IL2RA,0,
NRN1,0,
GBAS,0,
SOCS2,0,
ODAM,0,
DUSP5,0,
ARID5B,0,
SLC47A1,0,
NR1D2,0,
PWP2,0,
CEP83,0,
FLJ21369,0,
GADD45A,0,
DNAJC17,0,
CLEC5A,0,
CETP,0,
PPAT,0,
GPR183,0,
TTF2,0,
PLA2G12A,0,
SLC25A40,0,
ZKSCAN7,0,
WDR19,0,
FIP1L1,0,
CSNK1E.2,0,
AOC1,0,
TMEM14B,0,
FAIM,0,
EIF2S3,0,
THOC7,0,
CRYBB2.2,0,
INPP4B,0,
PRSS21,0,
LMNB1,0,
PLEKHB1,0,
ITPKB,0,
TFEC,0,
MIS18BP1,0,
MYL12B,0,
DGKG,0,
TTTY15,0,
MEIS1,0,
STAT4,0,
FAM153A.3,0,
CENPBD1P1.2,0,
HSPD1,0,
DNAJC3,0,
CCNB1,0,
DPEP3,0,
CASP8,0,
C14orf132,0,
C1QB,0,
SPAST,0,
TRADD,0,
USP53,0,
VASH1,0,
SMAD7,0,
UTS2,0,
NDC80,0,
AV8S2,0,
PTPLAD1,0,
CD24,0,
SDR39U1,0,
SNORA21,0,
CCNT1,0,
MAD1L1,0,
TCR-alpha,0,
RASGRP1,0,
RAB32,0,
IK.2,0,
ADI1,0,
KCNN4,0,
ZWILCH,0,
ZW10,0,
EIF1AX,0,
ELAVL1,0,
ZNF557,0,
COX5A,0,
ZBTB25,0,
CFH.2,0,
REST,0,
SCAF8,0,
SETBP1,0,
FAM13A,0,
COCH,0,
GOLM1,0,
ZDHHC13,0,
ARPIN,0,
IL3RA,0,
NBPF10.4,0,
ZNF227,0,
METAP2,0,
ALDH8A1,0,
GCM1,0,
USP32.2,0,
GMNN,0,
KIAA0226,0,
FZD2,0,
AHSA2,0,
ZBTB6,0,
ERICH1,0,
LIPA,0,
CORO2B,0,
TM4SF4,0,
SERINC1,0,
ERVK3-2,0,
METTL21B,0,
LACTB2,0,
SLAMF1,0,
CLEC10A,0,
PLA2G16,0,
FAM169A,0,
CXXC1,0,
C21orf91,0,
LINC00115,0,
ZNF195,0,
P2RX7,0,
EML4,0,
GMCL1,0,
KIAA1279,0,
SMPD3,0,
CCDC6,0,
LOC100506076,0,
BC069776,0,
HIST1H4D,0,
ANKRD55,0,
EIF5B,0,
LOC102724985,0,
ID3,0,
KLRAP1,0,
SNX29P2,0,
MAGEF1,0,
TRIM49,0,
PPFIBP2,0,
LHFPL2,0,
CD247,0,
TRIM22,0,
AKAP2,0,
ZFP36L2,0,
RETN,0,
SLC31A1,0,
BV03S1J2.2,0,
ALG6,0,
ZNF185,0,
IGHG1.4,0,
RNASE6,0,
DPYSL2,0,
MCM6,0,
CENPU,0,
ANKRD36,0,
P2RY10,0,
SMC3,0,
NAGK,0,
ENDOD1,0,
ACAP2,0,
SLC16A6,0,
EIF2AK3,0,
GABARAPL1.2,0,
MUC8,0,
UBA6,0,
RSU1,0,
IGSF6,0,
HMHA1,0,
DENND5B,0,
RIN2,0,
TMEM50B,0,
ALG5,0,
GSTZ1,0,
PGGT1B,0,
COL18A1,0,
OLFML2A,0,
TGFBR1,0,
ZNF226,0,
ABCC4,0,
EMR1,0,
TTPA,0,
GLDC,0,
ERC2,0,
TSC22D3,0,
H1FX,0,
CDO1,0,
TNNI2,0,
FAM172A,0,
WARS,0,
SP140L,0,
LOC100289097,0,
TARBP2,0,
RPGR,0,
CX3CR1,0,
LINC00339,0,
AQP5,0,
HCG8,0,
TIPRL,0,
STEAP1B,0,
ACTR8,0,
C1GALT1C1,0,
PRKX.2,0,
BCAP29,0,
LRIG1,0,
CAPG,0,
NSUN6,0,
CBLL1,0,
SLC12A1,0,
GPR65,0,
CHM,0,
ZNF230,0,
LYRM2,0,
CD2,0,
TRIM16,0,
ABCD2,0,
PTH1R,0,
PLCL1,0,
MRPL42,0,
FNBP1L,0,
CD46,0,
ENO1,0,
CHKB-CPT1B,0,
SLC12A7,0,
GLMN,0,
ABCB1.2,0,
UAP1,0,
C1GALT1,0,
PDE7B,0,
CNTNAP3P2,0,
KRR1,0,
DSE,0,
ARFIP1,0,
PLGRKT,0,
SMAD1,0,
ZNF177,0,
FCF1.2,0,
USP32P2,0,
SPO11,0,
MAFB,0,
ECHDC3,0,
PID1,0,
OAT,0,
ARHGEF4.1,0,
IRF8,0,
OTUD3,0,
FXYD2.2,0,
RABIF,0,
PPM1H,0,
CD38,0,
PLEKHA1,0,
PKIA,0,
TLR5,0,
TGIF1,0,
CCZ1.2,0,
DBR1,0,
