,L1 lasso,elastic net,ANOVA filter + L2
ME1,0.08,0.08,0.02
ME2,0.34,0.22,0.22
ME3,0.24,0.18,0.0
ME4,0.14,0.14,0.14
ME5,0.1,0.08,0.02
ME6,0.78,0.84,0.66
ME7,0.12,0.08,0.14
ME8,0.66,0.6,0.48
ME9,0.66,0.88,0.9
ME10,0.36,0.44,0.66
ME11,0.32,0.52,0.66
ME12,0.26,0.22,0.1
ME13,0.46,0.36,0.2
ME14,0.14,0.08,0.0
ME15,0.64,0.58,0.6
ME16,0.14,0.04,0.02
ME17,0.36,0.22,0.06
ME18,0.32,0.28,0.32
ME19,0.18,0.1,0.04
ME20,0.16,0.18,0.16
ME21,0.28,0.18,0.0
Age,0.26,0.18,0.0
Sex,0.18,0.16,0.0
COPD,0.52,0.3,0.06
Diabetes,0.28,0.2,0.02
