,logFC,mod_t,p,fdr_all,kME,fdr_in_module
TMEM214,0.18519217317841896,2.854868122144467,0.005506462034170854,0.26470869863932694,0.9090310506731952,0.03890466801866479
PRKCSH,0.21244682257130876,2.734558414774702,0.007719561849592792,0.26470869863932694,0.8956812463517008,0.04224155454507058
SLC4A2,0.14082595455874936,2.113571649127127,0.037731079306698966,0.3365206499494275,0.8893793009137887,0.08774526660438464
DCAF15,0.07954785537462206,1.261514526380393,0.21086303172325044,0.5503202604788208,0.8804373679867684,0.2624248412773659
DCTN1.2,0.19975343099958032,2.3962096645531434,0.01894763432176488,0.29204629845437724,0.8745191813425406,0.06238855203507949
FLNA,0.18634042877467483,2.556777054457781,0.012494817578626766,0.2795059819889614,0.8716562953851498,0.05190154994198811
PNPLA6,0.15420885519411698,1.9092679989031056,0.05988520581479243,0.3776477440930619,0.8716156397554913,0.11031482337285159
HECTD3,0.2557369436834147,3.2357808042477276,0.001777585889873466,0.26470869863932694,0.8711233158896975,0.02526043106662294
STXBP2,0.2602933546987609,2.280143179383857,0.025315807909151482,0.30304972886818626,0.8701752954865907,0.07046668180897836
LRCH4.2,0.14257457704640597,2.1222332430705695,0.036974420041259004,0.33597581539246063,0.8680692391584142,0.08774526660438464
MYO18A,0.20655378136769365,2.862392978308275,0.005389632774117695,0.26470869863932694,0.8658161146557969,0.03890466801866479
ERI3,0.13802118769503835,1.7968364748318246,0.07621180518719839,0.3998387507872191,0.8651565131366334,0.12780861739468052
CNOT3,0.10147122293814403,1.4597277598617082,0.14835926863502677,0.49165946018081563,0.8646178007722909,0.20028501265728615
SF3A2,0.1836778319778638,2.4004290466268703,0.018745750913190754,0.29163821225861725,0.8641371510173363,0.06238855203507949
ANAPC2,0.11605232623496242,1.6460216691616063,0.1037614837078632,0.4390538261387551,0.8637689682972434,0.15368434029326264
LIMD2,0.14342806523899654,2.0288138807604827,0.045871203011123386,0.3578657015266807,0.863352544456752,0.09600949467444429
UBA1,0.32451203812164753,3.3244285413974497,0.0013489571567345826,0.26470869863932694,0.8618815259486992,0.023762740712638883
FAM86B1,0.16188743034390152,2.4684932699639544,0.015743880604290505,0.28166722269647937,0.8598519421352372,0.059039552266089396
