,coef,lo,hi,P(coef>0)
ME6,0.2709111357627821,-0.013315520907345267,0.48878795282081916,0.968
COPD,-0.20418984001202617,-0.4803316051262834,0.090089943643865,0.108
ME9,0.1938282368648805,-0.016953327004607256,0.36055943241150334,0.963
ME8,0.1854281512650915,-0.056315884669702346,0.416712725733063,0.936
ME15,-0.1679551290830411,-0.3786184005250294,0.0874926363929434,0.096
ME17,0.1674972622325529,-0.08517156901233172,0.3600873444788364,0.901
ME3,-0.1427118526779451,-0.2922472895101797,0.06030426484818533,0.065
ME13,-0.13786936576275222,-0.36886919875813906,0.12397319682055744,0.164
ME12,0.13061924002212547,-0.14655378279191592,0.4104435272692043,0.83
ME18,-0.11839450798090921,-0.2884983971677875,0.035703796701217844,0.059
ME11,0.11704434281876808,-0.08847007858790482,0.31612935900962097,0.862
ME21,-0.11236021286930238,-0.33584046654743493,0.1609459681941937,0.243
ME20,-0.09473869718946452,-0.2749656091449562,0.0817937611161852,0.121
ME2,-0.08983808946968452,-0.3085286094794653,0.09395696839062706,0.141
Age,0.08730809873223323,-0.21484558362694664,0.3682611078863643,0.682
Diabetes,0.08645506947238603,-0.23731552754178126,0.3599519389803339,0.707
ME10,0.07870444992867547,-0.08981547305211748,0.3854447337844112,0.826
ME14,0.06843577299864888,-0.2168898944093296,0.3161463482009359,0.631
ME19,0.06416583167843223,-0.17551792891224918,0.3335840954228318,0.74
ME1,0.05709702946245807,-0.18552090194921084,0.25973171135369755,0.686
ME5,-0.03483642565883845,-0.29385536987556204,0.23535722267896744,0.419
ME7,0.029040036231567104,-0.19674207117377546,0.28008701190322344,0.661
ME16,-0.02255319123854945,-0.2767973168613238,0.23245713612508745,0.425
Sex,-0.016256890457420094,-0.28752536659220973,0.24098845818892392,0.436
ME4,0.011842672700334133,-0.2371843108726364,0.2511239730740597,0.527
