Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Other Interleukin Signaling R-HSA-449836,7.163596673187431e-05,0.04692155820937767,0,0,18.723320158102766,178.69374393003866,IL32;CSF1R;CD4;STXBP2;VAMP2
Reactome_2022,Generation Of Second Messenger Molecules R-HSA-202433,0.00020665040573344793,0.0676780078777042,0,0,13.36815358554489,113.42185918664175,ZAP70;CD4;PKN1;CD3E;CD101
MSigDB_Hallmark_2020,Mitotic Spindle,0.0036908121813080735,0.15025156417720553,0,0,3.2599629286376275,18.262014827922627,YWHAE;CLIP2;MAP1S;MID1IP1;ARFIP2;FLNA;MYO9B;RHOF;SPTAN1
MSigDB_Hallmark_2020,Allograft Rejection,0.007952117006634701,0.15025156417720553,0,0,2.4120394395433316,11.660563497899062,MAP4K1;CD74;ZAP70;HLA-DMA;CCND3;CD4;SPI1;CD7;FLNA;APBB1;CD3E;IL2RG
MSigDB_Hallmark_2020,Unfolded Protein Response,0.01073225458408611,0.15025156417720553,0,0,3.618279569892473,16.407094588437563,EXOSC10;BANF1;EEF2;SDAD1;ARFGAP1;RRP9
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.016224562312997765,0.1703579042864765,0,0,2.677714285714286,11.035473748833644,IL32;TPM2;COL6A2;FLNA;PCOLCE;ITGA5;ENO2;RHOB
Reactome_2022,Membrane Trafficking R-HSA-199991,0.0008605328030421683,0.1878829953308734,0,0,2.4065126050420167,16.985066871324058,YWHAE;RAB5C;DCTN1;VPS37B;ARFGAP1;GAK;CD4;AP1G2;FCHO1;VPS51;HGS;TRAPPC12;ARFIP2;STX5;PIP5K1C;TBC1D17;SBF1;SPTAN1;VAMP2;TBC1D10B
Reactome_2022,Toxicity Of Botulinum Toxin Type F (botF) R-HSA-5250981,0.0026527260405426203,0.2094002836524632,0,0,inf,inf,SV2A;VAMP2
Reactome_2022,Toxicity Of Botulinum Toxin Type D (botD) R-HSA-5250955,0.0026527260405426203,0.2094002836524632,0,0,inf,inf,SV2A;VAMP2
Reactome_2022,trans-Golgi Network Vesicle Budding R-HSA-199992,0.002877255805911708,0.2094002836524632,0,0,6.227931488801054,36.43911822087843,GAK;RAB5C;AP1G2;HGS;VAMP2
Reactome_2022,Maturation Of Spike Protein R-HSA-9683686,0.0026527260405426203,0.2094002836524632,0,0,inf,inf,PRKCSH;MOGS
Reactome_2022,Vesicle-mediated Transport R-HSA-5653656,0.0015821171091552637,0.2094002836524632,0,0,2.2738799661876583,14.664232315564778,YWHAE;RAB5C;DCTN1;VPS37B;ARFGAP1;GAK;CD4;AP1G2;FCHO1;VPS51;HGS;TRAPPC12;ARFIP2;STX5;PIP5K1C;TBC1D17;SBF1;SPTAN1;VAMP2;TBC1D10B
Reactome_2022,Phospholipid Metabolism R-HSA-1483257,0.0022924466520152496,0.2094002836524632,0,0,3.5346385542168677,21.48401251704626,PLA2G15;PITPNM1;PRKCSH;CPNE3;PIP5K1C;PNPLA6;SBF1;PLD3;PNPLA2
Reactome_2022,Clathrin-mediated Endocytosis R-HSA-8856828,0.0036604353730718686,0.21242445636767876,0,0,3.580952380952381,20.08976302170295,GAK;CD4;RAB5C;FCHO1;HGS;PIP5K1C;ARFGAP1;VAMP2
Reactome_2022,Glycerophospholipid Biosynthesis R-HSA-1483206,0.005188994354019634,0.21242445636767876,0,0,4.318681318681318,22.72151251757203,PLA2G15;PITPNM1;PRKCSH;CPNE3;PLD3;PNPLA2
Reactome_2022,Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430,0.004070730146302527,0.21242445636767876,0,0,13.935294117647059,76.69892374427197,ZAP70;CD4;CD3E
Reactome_2022,"Platelet Activation, Signaling And Aggregation R-HSA-76002",0.004345689166014936,0.21242445636767876,0,0,2.7712280701754386,15.071520399471003,LGALS3BP;DGKA;STXBP2;FLNA;CTSW;GTPBP2;PFN1;TLN1;DGKZ;RHOB;GNAI2
Reactome_2022,RHO GTPase Cycle R-HSA-9012999,0.005088402669314042,0.21242445636767876,0,0,2.4631020408163264,13.007127865333818,IL32;PRKCSH;MYO9B;RHOF;DEF6;RHOB;ZAP70;FMNL1;HGS;STX5;PKN1;ESYT1;SPTAN1
Reactome_2022,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,0.004596585213411224,0.21242445636767876,0,0,7.451968503937008,40.109785248209825,COL6A2;PCOLCE;COL9A2;PLEC
Reactome_2022,Signaling By Rho GTPases R-HSA-194315,0.004346487965318908,0.21242445636767876,0,0,2.2049566714652666,11.99140797167023,IL32;CENPT;YWHAE;PRKCSH;MYO9B;RHOF;DEF6;RHOB;ZAP70;FMNL1;HGS;FLNA;STX5;PKN1;ESYT1;PFN1;SPTAN1
Reactome_2022,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",0.005553076117534555,0.21395675629324315,0,0,2.144678629331428,11.138180962391983,IL32;CENPT;YWHAE;PRKCSH;MYO9B;RHOF;DEF6;RHOB;ZAP70;FMNL1;HGS;FLNA;STX5;PKN1;ESYT1;PFN1;SPTAN1
Reactome_2022,Insertion Of Tail-Anchored Proteins Into Endoplasmic Reticulum Membrane R-HSA-9609523,0.006266428069028464,0.2280283547340913,0,0,11.145882352941177,56.538031849294406,HMOX1;STX5;VAMP2
Reactome_2022,Neurotoxicity Of Clostridium Toxins R-HSA-168799,0.007686468162703961,0.22933872027819893,0,0,37.0390625,180.31704120064094,SV2A;VAMP2
Reactome_2022,Platelet Degranulation R-HSA-114608,0.0075533706807312485,0.22933872027819893,0,0,3.4522960788425245,16.867094811423545,LGALS3BP;STXBP2;FLNA;CTSW;GTPBP2;PFN1;TLN1
Reactome_2022,Synthesis Of PG R-HSA-1483148,0.007686468162703961,0.22933872027819893,0,0,37.0390625,180.31704120064094,PRKCSH;PLD3
Reactome_2022,Smooth Muscle Contraction R-HSA-445355,0.007702979917741033,0.22933872027819893,0,0,6.207349081364829,30.205879458396197,TPM2;ANXA6;PKN1;TLN1
Reactome_2022,Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,0.008527422444357976,0.24284616091541192,0,0,3.3630605782000202,16.023194972618032,LGALS3BP;STXBP2;FLNA;CTSW;GTPBP2;PFN1;TLN1
Reactome_2022,Translation Of Structural Proteins R-HSA-9683701,0.00904448255764195,0.24683900313564489,0,0,9.286274509803922,43.69749676302237,PARP4;PRKCSH;MOGS
GO_Biological_Process_2023,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),0.00032708942603929794,0.2601996384142615,0,0,6.584462151394423,52.842132333892515,CSF1R;ZAP70;DOK2;LTK;CD4;CD7;CD3E
GO_Biological_Process_2023,Diacylglycerol Metabolic Process (GO:0046339),0.00021429711145050511,0.2601996384142615,0,0,24.876640419947506,210.1615184816229,PLA2G15;DGKA;DGKZ;PNPLA2
Reactome_2022,Lysosome Vesicle Biogenesis R-HSA-432720,0.012433781236184606,0.3132356426808045,0,0,7.957983193277311,34.91436379642762,AP1G2;HGS;VAMP2
Reactome_2022,Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803,0.012433781236184606,0.3132356426808045,0,0,7.957983193277311,34.91436379642762,YWHAE;CAPNS1;CDC25B
Reactome_2022,RHOU GTPase Cycle R-HSA-9013420,0.016453907425667495,0.37163135737283476,0,0,6.961764705882353,28.59330637006047,HGS;PKN1;SPTAN1
Reactome_2022,Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,0.016453907425667495,0.37163135737283476,0,0,6.961764705882353,28.59330637006047,YWHAE;CAPNS1;CDC25B
Reactome_2022,Rab Regulation Of Trafficking R-HSA-9007101,0.015580136889395241,0.37163135737283476,0,0,3.2969187675070026,13.720979547391883,YWHAE;RAB5C;TRAPPC12;SBF1;TBC1D17;TBC1D10B
Reactome_2022,Collagen Chain Trimerization R-HSA-8948216,0.023912596190471078,0.3729226310656799,0,0,12.341145833333334,46.073815829598516,COL6A2;COL9A2
Reactome_2022,Pyrimidine Salvage R-HSA-73614,0.023912596190471078,0.3729226310656799,0,0,12.341145833333334,46.073815829598516,UPP1;UCKL1
Reactome_2022,Collagen Formation R-HSA-1474290,0.017436213766417474,0.3729226310656799,0,0,4.6515748031496065,18.83518453082329,COL6A2;PCOLCE;COL9A2;PLEC
Reactome_2022,Costimulation By CD28 Family R-HSA-388841,0.020687136948377743,0.3729226310656799,0,0,4.3770264011116256,16.975172768315275,CD4;PKN1;CD3E;MAP3K14
Reactome_2022,Transcriptional Regulation By VENTX R-HSA-8853884,0.02111625805372388,0.3729226310656799,0,0,6.186928104575164,23.867386862242792,CSF1R;VENTX;ANAPC2
Reactome_2022,Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860,0.023912596190471078,0.3729226310656799,0,0,12.341145833333334,46.073815829598516,ALG3;MOGS
Reactome_2022,Interleukin-37 Signaling R-HSA-9008059,0.023912596190471078,0.3729226310656799,0,0,12.341145833333334,46.073815829598516,SIGIRR;PTPN7
Reactome_2022,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,0.02111625805372388,0.3729226310656799,0,0,6.186928104575164,23.867386862242792,COL6A2;PCOLCE;COL9A2
